date_time,seedling_ID,photo_ID,sample
9/23/22,3493,2022_0923_162741_082,2
9/23/22,3741,2022_0923_162926_084,2
9/23/22,3522,2022_0923_163150_086,2
9/23/22,4402,2022_0923_163322_088,2
9/23/22,4120,2022_0923_163501_090,2
9/23/22,4042,2022_0923_163628_092,2
9/23/22,4273,2022_0923_163801_094,2
9/23/22,3423,2022_0923_163918_096,2
9/23/22,3120,2022_0923_164040_098,2
9/23/22,3664,2022_0923_164154_100,2
9/23/22,4060,2022_0923_164413_102,2
9/23/22,3124,2022_0923_164527_104,2
9/23/22,4035,2022_0923_164710_106,2
9/23/22,4321,2022_0923_164815_108,2
9/23/22,3724,2022_0923_164947_110,2
9/23/22,3742,2022_0923_165051_112,2
9/23/22,4082,2022_0923_165249_114,2
9/23/22,3769,2022_0923_165409_116,2
9/23/22,3440,2022_0923_165528_118,2
9/23/22,3854,2022_0923_165703_122,2
9/23/22,3583,2022_0923_165932_124,2
9/23/22,4343,2022_0923_170058_126,2
9/23/22,4081,2022_0923_170300_128,2
9/23/22,3543,2022_0923_170411_130,2
9/23/22,3337,2022_0923_170535_132,2
9/23/22,4289,2022_0923_170643_134,2
9/23/22,3517,2022_0923_170908_136,2
9/23/22,4323,2022_0923_171023_138,2
9/23/22,3524,2022_0923_171204_140,2
9/23/22,4018,2022_0923_171321_142,2
9/23/22,3566,2022_0923_171439_144,2
9/23/22,4404,2022_0923_171645_146,2
9/23/22,3521,2022_0923_171812_148,2
9/23/22,4258,2022_0923_171955_150,2
9/23/22,3821,2022_0923_172145_152,2
9/23/22,4109,2022_0923_172751_154,2
9/26/22,4085,2022_0926_120322_002,2
9/26/22,3139,2022_0926_120504_004,2
9/26/22,3518,2022_0926_120628_006,2
9/26/22,3113,2022_0926_120725_008,2
9/26/22,4027,2022_0926_120834_010,2
9/26/22,3580,2022_0926_121059_012,2
9/26/22,4344,2022_0926_121153_014,2
9/26/22,3265,2022_0926_121259_016,2
9/26/22,4370,2022_0926_121417_018,2
9/26/22,4067,2022_0926_121532_020,2
9/26/22,3271,2022_0926_121638_022,2
9/26/22,4268,2022_0926_121747_024,2
9/26/22,4136,2022_0926_121917_026,2
9/26/22,3755,2022_0926_122014_028,2
9/26/22,3987,2022_0926_122136_030,2
9/26/22,3056,2022_0926_122304_032,2
9/26/22,3893,2022_0926_122416_034,2
9/26/22,3556,2022_0926_122512_036,2
9/26/22,3859,2022_0926_122623_038,2
9/26/22,4046,2022_0926_122728_040,2
9/26/22,3573,2022_0926_122843_042,2
9/26/22,3096,2022_0926_123018_044,2
9/26/22,3339,2022_0926_123126_046,2
9/26/22,3898,2022_0926_123229_048,2
9/26/22,3795,2022_0926_123351_050,2
9/26/22,4274,2022_0926_123512_052,2
9/26/22,4237,2022_0926_123626_054,2
9/26/22,4175,2022_0926_123752_056,2
9/26/22,3612,2022_0926_123912_058,2
9/26/22,3827,2022_0926_124024_060,2
9/26/22,3764,2022_0926_124146_062,2
9/26/22,3382,2022_0926_124301_064,2
9/26/22,3643,2022_0926_124405_066,2
9/26/22,3646,2022_0926_124515_068,2
9/26/22,3708,2022_0926_124659_070,2
9/26/22,3709,2022_0926_124836_072,2
9/26/22,3771,2022_0926_124937_074,2
9/26/22,3697,2022_0926_125047_076,2
9/26/22,3900,2022_0926_125155_078,2
9/26/22,3434,2022_0926_125254_080,2
9/26/22,3873,2022_0926_125412_082,2
9/26/22,3475,2022_0926_125520_084,2
9/26/22,3645,2022_0926_125627_086,2
9/26/22,3186,2022_0926_125721_088,2
9/26/22,4251,2022_0926_125839_090,2
9/26/22,3241,2022_0926_125940_092,2
9/26/22,4265,2022_0926_130035_094,2
9/26/22,3650,2022_0926_130148_096,2
9/26/22,4424,2022_0926_130240_098,2
9/26/22,3998,2022_0926_130345_100,2
9/26/22,3044,2022_0926_130439_102,2
9/26/22,3045,2022_0926_130538_104,2
9/26/22,4015,2022_0926_130653_106,2
9/26/22,3581,2022_0926_130749_108,2
9/26/22,3258,2022_0926_144105_002,2
9/26/22,3751,2022_0926_144230_004,2
9/26/22,3148,2022_0926_144353_006,2
9/26/22,4062,2022_0926_144617_008,2
9/26/22,3803,2022_0926_144735_010,2
9/26/22,4242,2022_0926_144833_012,2
9/26/22,3385,2022_0926_144951_014,2
9/26/22,3793,2022_0926_145055_016,2
9/26/22,4353,2022_0926_145217_018,2
9/26/22,4387,2022_0926_145321_020,2
9/28/22,4256,2022_0928_120829_002,2
9/28/22,3991,2022_0928_120958_004,2
9/28/22,3502,2022_0928_121123_006,2
9/28/22,3780,2022_0928_121229_008,2
9/28/22,4086,2022_0928_121348_010,2
9/28/22,4209,2022_0928_121446_012,2
9/28/22,4249,2022_0928_121634_014,2
9/28/22,3497,2022_0928_121743_016,2
9/28/22,3474,2022_0928_121841_018,2
9/28/22,3433,2022_0928_121942_020,2
9/28/22,3781,2022_0928_122101_022,2
9/28/22,4325,2022_0928_122200_024,2
9/28/22,3361,2022_0928_122317_026,2
9/28/22,4436,2022_0928_122427_028,2
9/28/22,3323,2022_0928_122533_030,2
9/28/22,4373,2022_0928_122639_032,2
9/28/22,3525,2022_0928_122806_034,2
9/28/22,3048,2022_0928_122912_036,2
9/28/22,3541,2022_0928_123030_038,2
9/28/22,3879,2022_0928_123208_040,2
9/28/22,4091,2022_0928_123352_042,2
9/28/22,3488,2022_0928_123525_044,2
9/28/22,3425,2022_0928_123634_046,2
9/28/22,4010,2022_0928_123755_048,2
9/28/22,3622,2022_0928_123908_050,2
9/28/22,3735,2022_0928_124020_052,2
9/28/22,3748,2022_0928_124132_054,2
9/28/22,4271,2022_0928_124258_056,2
9/28/22,3757,2022_0928_124404_058,2
9/28/22,4020,2022_0928_124730_060,2
9/28/22,3158,2022_0928_124845_062,2
9/28/22,4167,2022_0928_133744_002,2
9/28/22,4196,2022_0928_133855_004,2
9/28/22,3766,2022_0928_134011_006,2
9/28/22,3731,2022_0928_134119_008,2
9/28/22,4240,2022_0928_134228_010,2
