seedling_id,height_cm,additional_height,diameter_mm,chlorosis,leaf_count,
3796,9.7,7.5,2.2,5,,
3683,15.2,2,6,,11,
4117,8.5,5,5.4,,27,
3843,11.1,14.5,2.8,4,,
3921,8.1,10,2.2,4,,
3972,8.8,3,4.5,,20,
3766,10.3,10,2.2,4,,
4026,9.2,3,3.1,,10,
3240,6.9,0,3.7,,4,
3067,8.8,8.5,4.1,,16,
4149,9.8,0,3.6,,9,dead
4030,6.8,4.5,4.2,,9,
3275,7.4,8.5,2.4,4,,
3801,7.7,11,2.3,4,,
3938,9.2,21,2.7,5,,
3896,6.4,4,1.2,2,,
3782,8.4,19.5,3.1,5,,
3628,7.5,4,4.1,,13,
4371,7.5,12,2.4,4,,
3744,7.2,12.5,2.9,5,,
4235,6.6,5.5,2.4,4,,
4054,11.6,0,4.4,,12,
3567,5.8,0,3.5,,10,
3917,3.3,3,1.8,2,,
3349,4.2,2,1.7,2,,
3891,5.5,6.5,1.7,5,,
3974,9.8,13,3.8,,20,
3001,8,1,5,,20,
4212,7.8,12,2.5,5,,
4145,15.9,0,3.4,,13,dead
3189,10.5,0,3,,8,
3565,16.6,9,3.1,,9,
3745,9.2,14,2.2,5,,
3756,8.6,14,2.1,5,,
3901,6,6,2,3,,
4277,8.4,7,2.5,4,,
4326,6.6,6,1.6,0,,
4032,13.2,9,5.6,,10,
4391,9.1,15,2.3,5,,
4341,9.6,25.5,3,5,,
3369,4.9,2,2.1,1,,
3740,7.2,1,2.7,2,,
3858,9,16,2.8,5,,
3832,9.8,22.5,2.7,5,,
3043,5.9,0.5,2.9,,13,
3688,6.7,0,3.7,,6,
3737,5.9,4.5,1.5,0,,
4122,13.8,0,3.5,,7,dead
4241,7.1,3.5,2.7,3,,
4362,6.2,4,2.1,3,,
3617,9,0,4.5,,4,
3592,15.6,9,7.5,,16,
4327,8.2,24.5,2.8,5,,
3255,6.4,6.5,2.3,3,,
3953,7.1,24,2.9,4,,
4369,8.1,25,2.8,4,,
3279,4,1,1.7,1,,
3281,5.1,0,1.9,1,,
4240,6.7,4,2.1,5,,
3722,6.9,5,2.1,4,,
3582,9.6,0,4.7,,8,
4416,5.6,15.5,2.9,5,,
4020,7.6,4,3.1,,12,
3158,12.5,3,5,,13,
4167,8.5,1,2.8,,12,
4196,7.5,0,3.4,,13,
3756,7.8,15,2.5,5,,
3731,8.7,17,2.8,4,,
3735,8.5,11.5,2.3,5,,
3748,9.9,6,3.2,4,,
4271,8.6,9,1.5,0,,
