seedling_id,seedling sp.,soil type,dead,diameter_mm,height_cm,stem_2_diameter_mm,stem_2_height_cm,notes,observer,date,timepoint
3341,P,C,,1.79,3.4,,,,,7/17,1
3338,P,C,,1.7,2.8,,,,,7/17,1
3337,P,C,,1.53,2,,,,,7/17,1
3383,P,C,,1.43,1.5,,,,,7/17,1
3350,P,C,,,,,,bg,,7/17,1
4248,P,P,,0.96,1.8,,,brown,,7/17,1
4247,P,P,,1.62,2.7,,,,,7/17,1
4246,P,P,,1.58,2.5,,,sprout,,7/17,1
4245,P,P,,,,,,bg,,7/17,1
4244,P,P,,1.25,1.8,,,,,7/17,1
4243,P,P,,1.92,3.6,,,,,7/17,1
4242,P,P,,1.69,3.2,,,,,7/17,1
4241,P,P,,1.71,2,,,,,7/17,1
4240,P,P,,1.51,2.2,,,,,7/17,1
4239,P,P,,1.58,2.7,,,,,7/17,1
4238,P,P,,1.59,3.2,,,,,7/17,1
4237,P,P,,1.74,2.6,,,,,7/17,1
4236,P,P,,1.71,1.9,,,,,7/17,1
4235,P,P,,1.5,2.6,,,,,7/17,1
4234,P,P,,1.52,2.6,,,,,7/17,1
4233,P,P,,2.03,3.6,,,,,7/17,1
4232,P,P,,1.7,3.2,,,,,7/17,1
4231,P,P,,1.68,2.4,,,,,7/17,1
4230,P,P,,1.65,1.8,,,,,7/17,1
4229,P,P,,1.65,2,,,,,7/17,1
4228,P,P,,1.5,2.5,,,sprout,,7/17,1
4227,P,P,,1.51,2.4,,,,,7/17,1
4226,P,P,,1.61,2.2,,,,,7/17,1
4225,P,P,,,,,,bg,,7/17,1
4223,P,P,,1.57,2.7,,,,,7/17,1
4224,P,P,,1.54,2.4,,,,,7/17,1
4222,P,P,,1.64,1.6,,,,,7/17,1
4215,P,P,X,,,,,,,7/17,1
4221,P,P,,1.65,2.8,,,,,7/17,1
4219,P,P,,1.46,2.7,,,sprout,,7/17,1
4216,P,P,,1.83,3.5,,,,,7/17,1
4218,P,P,,1.72,3.4,,,,,7/17,1
4220,P,P,,0.41,1,,,brown,,7/17,1
4217,P,P,X,,,,,,,7/17,1
4214,P,P,,,,,,bg,,7/17,1
4213,P,P,,2.18,4.2,,,,,7/17,1
4212,P,P,,1.43,3.5,,,,,7/17,1
4210,P,P,,1.78,2.4,,,,,7/17,1
4211,P,P,X,,,,,,,7/17,1
4209,P,P,,1.67,2.8,,,,,7/17,1
4208,P,P,,1.57,4.1,,,,,7/17,1
4207,P,P,,1.89,2.5,,,sprout,,7/17,1
4206,P,P,,,,,,bg,,7/17,1
4205,P,P,,1.64,3.8,,,,,7/17,1
4204,P,P,,1.8,3.3,,,,,7/17,1
4203,P,P,X,,,,,,,7/17,1
4202,P,P,,1.62,3.4,,,,,7/17,1
4201,P,P,,1.38,3.2,,,,,7/17,1
4345,P,P,,1.94,2.2,,,,,7/17,1
4362,P,P,,1.77,3.4,,,,,7/17,1
4346,P,P,,1.65,3.1,,,,,7/17,1
4347,P,P,,1.67,2.5,,,,,7/17,1
4391,P,P,,1.64,3.8,,,,,7/17,1
4390,P,P,,1.83,3.1,,,,,7/17,1
4392,P,P,,1.79,3,,,,,7/17,1
4388,P,P,,1.81,4,,,,,7/17,1
