Pot ID,Drought or control,Moisture,Date
211165,C,15,10142022
211003,C,13,10142022
211333,C,22,10142022
211143,C,14,10142022
211312,C,14,10142022
211315,C,10,10142022
211051,C,16,10142022
211002,C,14,10142022
211253,C,20,10142022
211041,C,15,10142022
211218,C,11,10142022
211249,C,14,10142022
211220,C,14,10142022
211168,C,23,10142022
211123,C,8,10142022
211219,C,19,10142022
211005,C,7,10142022
211160,C,16,10142022
211037,D ,13,10142022
211344,D ,10,10142022
211135,D ,8,10142022
211062,D ,11,10142022
211314,D ,7,10142022
211177,D ,13,10142022
211337,D ,12,10142022
211082,D ,13,10142022
211085,D ,13,10142022
211346,D ,9,10142022
211334,D ,7,10142022
211169,D ,8,10142022
211010,D ,7,10142022
211024,D ,8,10142022
211206,D ,8,10142022
211282,D ,7,10142022
211305,D ,7,10142022
211216,D ,11,10142022
211233,D ,7,10142022
211155,D ,16,10142022
211028,D ,15,10142022
211310,D ,12,10142022
211162,D ,17,10142022
211208,D ,10,10142022
211225,D ,15,10142022
211083,D ,8,10142022
211127,D ,22,10142022
211181,D ,8,10142022
211126,D ,8,10142022
211252,D ,15,10142022
211193,D ,7,10142022
211237,D ,14,10142022
211156,D ,8,10142022
211140,D ,10,10142022
211272,D ,11,10142022
211040,D ,7,10142022
211192,D ,7,10142022
211130,D ,7,10142022
211189,D ,9,10142022
211201,D ,7,10142022
211227,D ,7,10142022
211157,D ,12,10142022
211213,D ,15,10142022
211106,D ,8,10142022
211167,D ,7,10142022
211159,D ,15,10142022
211287,D ,7,10142022
211084,D ,8,10142022
211045,D ,8,10142022
211061,D ,11,10142022
211042,D ,10,10142022
211056,D ,8,10142022
211080,D ,12,10142022
211211,D ,15,10142022
211261,D ,10,10142022
211327,D ,9,10142022
211278,D ,8,10142022
211029,D ,7,10142022
211147,D ,7,10142022
211125,D ,13,10142022
211331,D ,16,10142022
211317,D ,7,10142022
211081,D ,7,10142022
211012,D ,8,10142022
211257,D ,7,10142022
211016,D ,8,10142022
211262,D ,9,10142022
211214,D ,7,10142022
211263,D ,7,10142022
211244,D ,10,10142022
211286,D ,10,10142022
211074,D ,10,10142022
211258,D ,8,10142022
211251,D ,7,10142022
211209,D ,7,10142022
211212,D ,7,10142022
211300,D ,8,10142022
211228,D ,7,10142022
211110,D ,8,10142022
211202,D ,30,10142022
211114,D ,8,10142022
211079,D ,10,10142022
211119,D ,12,10142022
211007,D ,11,10142022
211113,D ,8,10142022
211171,D ,7,10142022
211117,D ,9,10142022
211241,D ,7,10142022
211248,D ,7,10142022
211324,D ,14,10142022
211071,D ,7,10142022
211072,D ,10,10142022
211101,D ,10,10142022
211182,D ,10,10142022
211259,D ,7,10142022
211070,D ,7,10142022
211094,D ,7,10142022
211132,D ,7,10142022
211276,D ,7,10142022
211092,D ,7,10142022
211027,D ,7,10142022
211226,D ,14,10142022
211026,D ,14,10142022
211043,D ,7,10142022
211086,D ,8,10142022
211254,D ,10,10142022
211164,D ,8,10142022
211292,D ,7,10142022
211089,D ,10,10142022
211247,D ,7,10142022
211032,D ,7,10142022
211195,D ,7,10142022
211057,D ,10,10142022
211273,D ,7,10142022
211289,D ,7,10142022
211274,D ,8,10142022
211059,D ,7,10142022
211145,D ,7,10142022
211011,D ,7,10142022
211100,D ,8,10142022
211142,D ,8,10142022
211146,D ,7,10142022
211271,D ,7,10142022
211049,D ,7,10142022
211198,D ,7,10142022
211329,D ,7,10142022
211098,D ,7,10142022
211187,D ,7,10142022
211285,D ,8,10142022
211077,D ,12,10142022
211316,D ,8,10142022
211291,D ,11,10142022
211031,D ,7,10142022
211328,D ,21,10142022
211116,D ,8,10142022
211222,D ,12,10142022
211121,D ,7,10142022
211170,D ,8,10142022
211267,D ,7,10142022
211139,D ,8,10142022
211230,D ,8,10142022
211239,D ,14,10142022
211018,D ,7,10142022
211321,D ,7,10142022
211138,D ,7,10142022
211133,D ,8,10142022
211107,D ,7,10142022
211203,D ,7,10142022
211293,D ,7,10142022
211174,D ,17,10142022
211221,D ,10,10142022
211020,D ,7,10142022
211313,D ,7,10142022
211296,D ,8,10142022
211137,D ,7,10142022
211185,D ,11,10142022
211001,D ,11,10142022
211044,D ,8,10142022
211332,D ,7,10142022
211017,D ,11,10142022
211297,D ,7,10142022
211144,D ,8,10142022
211302,D ,7,10142022
211067,D ,7,10142022
211224,C,13, 10232022
211322,C,12,10232022
211207,C,12, 10232022
211320,C,13, 10232022
211149,C,13, 10232022
211246,C,14, 10232022
211326,C,16, 10232022
