seedling_id,seedling_sp,soil_type,neighb_sp,neighb_st,drought_treat,compartment,mass,plant_compartment,area,sapwood_diameter,sapwood_area
3844,P,Q,Q,Q,C,A,0.439,aboveground,0.14364050950324125,NA,NA
3839,P,Q,P,Q,C,A,0.53,aboveground,0.18104208430639082,3.3,8.55298599939821
3838,P,Q,P,Q,C,A,0.311,aboveground,0.1517763035526071,3.45,9.348201639838129
4135,Q,P,Q,C,C,A,0.293,aboveground,0.07399198131729597,NA,NA
3095,Q,C,Q,P,C,A,1.09,aboveground,0.236916251610281,NA,NA
3723,P,Q,P,P,C,A,0.18500000000000003,aboveground,0.0832368886959996,2.22,3.8707563084879846
4218,P,P,P,Q,C,A,0.373,aboveground,0.1381121651132191,2.97,6.927918659512553
4333,P,P,P,Q,C,A,0.653,aboveground,0.21194225721784776,NA,NA
3775,P,Q,P,P,C,A,0.337,aboveground,0.09768463981372408,NA,NA
3489,Q,Q,Q,Q,C,A,0.782,aboveground,0.19690378269645428,3.35,8.814130888727863
3511,Q,Q,Q,Q,C,A,0.264,aboveground,0.06135084492391207,3.09,7.4990602039351755
3999,Q,P,P,Q,C,A,0.56,aboveground,0.07117269790095136,NA,NA
3860,P,Q,Q,P,C,A,0.448,aboveground,0.15366730733461467,NA,NA
4312,P,P,Q,Q,C,A,0.187,aboveground,0.0937682986477084,NA,NA
3553,Q,Q,P,P,C,A,0.292,aboveground,0.0655754644842623,NA,NA
3611,Q,Q,Q,C,C,A,0.407,aboveground,0.09799980711072533,3.93,12.13039609385725
3077,Q,C,Q,Q,C,A,0.299,aboveground,0.05455838689455156,NA,NA
4435,P,P,P,C,C,A,0.176,aboveground,0.0934686313817072,NA,NA
3364,P,C,P,P,C,A,0.457,aboveground,0.15483669856228602,NA,NA
3995,Q,P,Q,P,C,A,0.461,aboveground,0.07372503633896156,NA,NA
4007,Q,P,Q,P,C,A,0.667,aboveground,0.10014225584006724,NA,NA
3392,P,C,P,C,C,A,0.052,aboveground,0.02985650415745275,NA,NA
3400,P,C,P,C,C,A,0.086,aboveground,0.03954057908115816,NA,NA
4213,P,P,Q,P,C,A,0.465,aboveground,0.1966506155234533,3.35,8.814130888727863
4187,Q,P,P,P,C,A,0.344,aboveground,0.0680761361522723,3.41,9.13268838380187
3243,P,C,P,C,C,A,0.041,aboveground,0.02435571537809742,NA,NA
3242,P,C,P,C,C,A,0.097,aboveground,0.05019082260386743,NA,NA
3325,P,C,P,C,C,A,0.06,aboveground,0.03537279296780816,NA,NA
3333,P,C,P,C,C,A,0.056,aboveground,0.03042311640178836,NA,NA
4183,Q,P,P,Q,C,A,0.61,aboveground,0.11428689524045715,NA,NA
3959,P,Q,Q,P,C,A,0.293,aboveground,0.11259911408711706,NA,NA
4368,P,P,P,P,C,A,0.322,aboveground,0.10643699065175909,NA,NA
4368,P,P,P,P,C,A,0.327,aboveground,0.10643699065175909,NA,NA
4384,P,P,P,P,C,A,0.299,aboveground,0.09814964074372594,NA,NA
4392,P,P,P,P,C,A,0.491,aboveground,0.25778618223903116,NA,NA
4388,P,P,P,P,C,A,0.09,aboveground,0.02795516702144515,NA,NA
3915,P,Q,P,Q,C,A,0.393,aboveground,0.16537844186799486,NA,NA
3958,P,Q,P,Q,C,A,0.261,aboveground,0.11000544223310668,NA,NA
